alpha,gamma,epsilon,episodes,rewards
0.5, 0.3, 0.5, 50000, 19
0.5, 0.3, 0.5, 100000, 7
0.3, 0.99, 0.9, 10000, 86
0.3, 0.99, 0.9, 50000, 82
0.3, 0.99, 0.9, 100000, 85
0.3, 0.99, 0.8, 10000, 85
0.3, 0.99, 0.8, 50000, 57
0.3, 0.99, 0.8, 100000, 81
0.3, 0.99, 0.7, 10000, 85
0.3, 0.99, 0.7, 50000, 88
0.3, 0.99, 0.7, 100000, 82
0.3, 0.99, 0.5, 10000, 72
0.3, 0.99, 0.5, 50000, 82
0.3, 0.99, 0.5, 100000, 88
0.3, 0.95, 0.9, 10000, 43
0.3, 0.95, 0.9, 50000, 64
0.3, 0.95, 0.9, 100000, 76
0.3, 0.95, 0.8, 10000, 78
0.3, 0.95, 0.8, 50000, 83
0.3, 0.95, 0.8, 100000, 66
0.3, 0.95, 0.7, 10000, 17
0.3, 0.95, 0.7, 50000, 52
0.3, 0.95, 0.7, 100000, 84
0.3, 0.95, 0.5, 10000, 10
0.3, 0.95, 0.5, 50000, 74
0.3, 0.95, 0.5, 100000, 78
0.3, 0.9, 0.9, 10000, 69
0.3, 0.9, 0.9, 50000, 75
0.3, 0.9, 0.9, 100000, 77
0.3, 0.9, 0.8, 10000, 32
0.3, 0.9, 0.8, 50000, 42
0.3, 0.9, 0.8, 100000, 52
0.3, 0.9, 0.7, 10000, 12
0.3, 0.9, 0.7, 50000, 47
0.3, 0.9, 0.7, 100000, 44
0.3, 0.9, 0.5, 10000, 39
0.3, 0.9, 0.5, 50000, 78
0.3, 0.9, 0.5, 100000, 50
0.3, 0.85, 0.9, 10000, 8
0.3, 0.85, 0.9, 50000, 48
0.3, 0.85, 0.9, 100000, 46
0.3, 0.85, 0.8, 10000, 22
0.3, 0.85, 0.8, 50000, 36
0.3, 0.85, 0.8, 100000, 48
0.3, 0.85, 0.7, 10000, 42
0.3, 0.85, 0.7, 50000, 37
0.3, 0.85, 0.7, 100000, 50
0.3, 0.85, 0.5, 10000, 78
0.3, 0.85, 0.5, 50000, 18
0.3, 0.85, 0.5, 100000, 43
0.3, 0.8, 0.9, 10000, 13
0.3, 0.8, 0.9, 50000, 27
0.3, 0.8, 0.9, 100000, 50
0.3, 0.8, 0.8, 10000, 8
0.3, 0.8, 0.8, 50000, 53
0.3, 0.8, 0.8, 100000, 48
0.3, 0.8, 0.7, 10000, 15
0.3, 0.8, 0.7, 50000, 79
0.3, 0.8, 0.7, 100000, 54
0.3, 0.8, 0.5, 10000, 20
0.3, 0.8, 0.5, 50000, 16
0.3, 0.8, 0.5, 100000, 48
0.3, 0.75, 0.9, 10000, 3
0.3, 0.75, 0.9, 50000, 35
0.3, 0.75, 0.9, 100000, 53
0.3, 0.75, 0.8, 10000, 23
0.3, 0.75, 0.8, 50000, 19
0.3, 0.75, 0.8, 100000, 45
0.3, 0.75, 0.7, 10000, 4
0.3, 0.75, 0.7, 50000, 42
0.3, 0.75, 0.7, 100000, 51
0.3, 0.75, 0.5, 10000, 4
0.3, 0.75, 0.5, 50000, 35
0.3, 0.75, 0.5, 100000, 17
0.3, 0.5, 0.9, 10000, 13
0.3, 0.5, 0.9, 50000, 24
0.3, 0.5, 0.9, 100000, 7
0.3, 0.5, 0.8, 10000, 4
0.3, 0.5, 0.8, 50000, 10
0.3, 0.5, 0.8, 100000, 16
0.3, 0.5, 0.7, 10000, 2
0.3, 0.5, 0.7, 50000, 9
0.3, 0.5, 0.7, 100000, 19
0.3, 0.5, 0.5, 10000, 6
0.3, 0.5, 0.5, 50000, 8
0.3, 0.5, 0.5, 100000, 5
0.3, 0.3, 0.9, 10000, 13
0.3, 0.3, 0.9, 50000, 7
0.3, 0.3, 0.9, 100000, 8
0.3, 0.3, 0.8, 10000, 9
0.3, 0.3, 0.8, 50000, 3
0.3, 0.3, 0.8, 100000, 16
0.3, 0.3, 0.7, 10000, 5
0.3, 0.3, 0.7, 50000, 8
0.3, 0.3, 0.7, 100000, 13
0.3, 0.3, 0.5, 10000, 3
0.3, 0.3, 0.5, 50000, 16
0.3, 0.3, 0.5, 100000, 11
0.2, 0.99, 0.9, 10000, 83
0.2, 0.99, 0.9, 50000, 84
0.2, 0.99, 0.9, 100000, 82
0.2, 0.99, 0.8, 10000, 79
0.2, 0.99, 0.8, 50000, 84
0.2, 0.99, 0.8, 100000, 89
0.2, 0.99, 0.7, 10000, 79
0.2, 0.99, 0.7, 50000, 85
0.2, 0.99, 0.7, 100000, 87
0.2, 0.99, 0.5, 10000, 83
0.2, 0.99, 0.5, 50000, 85
0.2, 0.99, 0.5, 100000, 89
0.2, 0.95, 0.9, 10000, 23
0.2, 0.95, 0.9, 50000, 78
0.2, 0.95, 0.9, 100000, 49
0.2, 0.95, 0.8, 10000, 81
0.2, 0.95, 0.8, 50000, 71
0.2, 0.95, 0.8, 100000, 81
0.2, 0.95, 0.7, 10000, 43
0.2, 0.95, 0.7, 50000, 82
0.2, 0.95, 0.7, 100000, 55
0.2, 0.95, 0.5, 10000, 0
0.2, 0.95, 0.5, 50000, 77
0.2, 0.95, 0.5, 100000, 73
0.2, 0.9, 0.9, 10000, 51
0.2, 0.9, 0.9, 50000, 81
0.2, 0.9, 0.9, 100000, 79
0.2, 0.9, 0.8, 10000, 29
0.2, 0.9, 0.8, 50000, 71
0.2, 0.9, 0.8, 100000, 51
0.2, 0.9, 0.7, 10000, 42
0.2, 0.9, 0.7, 50000, 81
0.2, 0.9, 0.7, 100000, 77
0.2, 0.9, 0.5, 10000, 45
0.2, 0.9, 0.5, 50000, 52
0.2, 0.9, 0.5, 100000, 63
0.2, 0.85, 0.9, 10000, 21
0.2, 0.85, 0.9, 50000, 34
0.2, 0.85, 0.9, 100000, 57
0.2, 0.85, 0.8, 10000, 2
0.2, 0.85, 0.8, 50000, 47
0.2, 0.85, 0.8, 100000, 63
0.2, 0.85, 0.7, 10000, 10
0.2, 0.85, 0.7, 50000, 46
0.2, 0.85, 0.7, 100000, 20
0.2, 0.85, 0.5, 10000, 13
0.2, 0.85, 0.5, 50000, 51
0.2, 0.85, 0.5, 100000, 35
0.2, 0.8, 0.9, 10000, 83
0.2, 0.8, 0.9, 50000, 20
0.2, 0.8, 0.9, 100000, 53
0.2, 0.8, 0.8, 10000, 45
0.2, 0.8, 0.8, 50000, 30
0.2, 0.8, 0.8, 100000, 61
0.2, 0.8, 0.7, 10000, 14
0.2, 0.8, 0.7, 50000, 37
0.2, 0.8, 0.7, 100000, 55
0.2, 0.8, 0.5, 10000, 21
0.2, 0.8, 0.5, 50000, 34
0.2, 0.8, 0.5, 100000, 54
0.2, 0.75, 0.9, 10000, 30
0.2, 0.75, 0.9, 50000, 55
0.2, 0.75, 0.9, 100000, 55
0.2, 0.75, 0.8, 10000, 17
0.2, 0.75, 0.8, 50000, 43
0.2, 0.75, 0.8, 100000, 46
0.2, 0.75, 0.7, 10000, 24
0.2, 0.75, 0.7, 50000, 53
0.2, 0.75, 0.7, 100000, 26
0.2, 0.75, 0.5, 10000, 16
0.2, 0.75, 0.5, 50000, 4
0.2, 0.75, 0.5, 100000, 46
0.2, 0.5, 0.9, 10000, 5
0.2, 0.5, 0.9, 50000, 11
0.2, 0.5, 0.9, 100000, 42
0.2, 0.5, 0.8, 10000, 8
0.2, 0.5, 0.8, 50000, 4
0.2, 0.5, 0.8, 100000, 1
0.2, 0.5, 0.7, 10000, 10
0.2, 0.5, 0.7, 50000, 8
0.2, 0.5, 0.7, 100000, 16
0.2, 0.5, 0.5, 10000, 7
0.2, 0.5, 0.5, 50000, 8
0.2, 0.5, 0.5, 100000, 3
0.2, 0.3, 0.9, 10000, 7
0.2, 0.3, 0.9, 50000, 18
0.2, 0.3, 0.9, 100000, 7
0.2, 0.3, 0.8, 10000, 3
0.2, 0.3, 0.8, 50000, 7
0.2, 0.3, 0.8, 100000, 7
0.2, 0.3, 0.7, 10000, 10
0.2, 0.3, 0.7, 50000, 9
0.2, 0.3, 0.7, 100000, 6
0.2, 0.3, 0.5, 10000, 1
0.2, 0.3, 0.5, 50000, 9
0.2, 0.3, 0.5, 100000, 9
