alpha,gamma,epsilon,episodes,rewards
0.95, 0.85, 0.5, 10000, 13
0.95, 0.85, 0.5, 50000, 71
0.95, 0.85, 0.5, 100000, 80
0.95, 0.8, 0.9, 10000, 4
0.95, 0.8, 0.9, 50000, 83
0.95, 0.8, 0.9, 100000, 74
0.95, 0.8, 0.8, 10000, 34
0.95, 0.8, 0.8, 50000, 17
0.95, 0.8, 0.8, 100000, 83
0.95, 0.8, 0.7, 10000, 19
0.95, 0.8, 0.7, 50000, 19
0.95, 0.8, 0.7, 100000, 47
0.95, 0.8, 0.5, 10000, 9
0.95, 0.8, 0.5, 50000, 72
0.95, 0.8, 0.5, 100000, 64
0.95, 0.75, 0.9, 10000, 16
0.95, 0.75, 0.9, 50000, 44
0.95, 0.75, 0.9, 100000, 73
0.95, 0.75, 0.8, 10000, 31
0.95, 0.75, 0.8, 50000, 60
0.95, 0.75, 0.8, 100000, 71
0.95, 0.75, 0.7, 10000, 18
0.95, 0.75, 0.7, 50000, 16
0.95, 0.75, 0.7, 100000, 62
0.95, 0.75, 0.5, 10000, 38
0.95, 0.75, 0.5, 50000, 30
0.95, 0.75, 0.5, 100000, 34
0.95, 0.5, 0.9, 10000, 0
0.95, 0.5, 0.9, 50000, 83
0.95, 0.5, 0.9, 100000, 31
0.95, 0.5, 0.8, 10000, 24
0.95, 0.5, 0.8, 50000, 16
0.95, 0.5, 0.8, 100000, 24
0.95, 0.5, 0.7, 10000, 16
0.95, 0.5, 0.7, 50000, 36
0.95, 0.5, 0.7, 100000, 45
0.95, 0.5, 0.5, 10000, 15
0.95, 0.5, 0.5, 50000, 16
0.95, 0.5, 0.5, 100000, 43
0.95, 0.3, 0.9, 10000, 8
0.95, 0.3, 0.9, 50000, 14
0.95, 0.3, 0.9, 100000, 44
0.95, 0.3, 0.8, 10000, 20
0.95, 0.3, 0.8, 50000, 7
0.95, 0.3, 0.8, 100000, 36
0.95, 0.3, 0.7, 10000, 22
0.95, 0.3, 0.7, 50000, 34
0.95, 0.3, 0.7, 100000, 24
0.95, 0.3, 0.5, 10000, 0
0.95, 0.3, 0.5, 50000, 12
0.95, 0.3, 0.5, 100000, 11
0.9, 0.99, 0.9, 10000, 65
0.9, 0.99, 0.9, 50000, 23
0.9, 0.99, 0.9, 100000, 82
0.9, 0.99, 0.8, 10000, 4
0.9, 0.99, 0.8, 50000, 54
0.9, 0.99, 0.8, 100000, 84
0.9, 0.99, 0.7, 10000, 22
0.9, 0.99, 0.7, 50000, 83
0.9, 0.99, 0.7, 100000, 75
0.9, 0.99, 0.5, 10000, 16
0.9, 0.99, 0.5, 50000, 87
0.9, 0.99, 0.5, 100000, 88
0.9, 0.95, 0.9, 10000, 15
0.9, 0.95, 0.9, 50000, 85
0.9, 0.95, 0.9, 100000, 82
0.9, 0.95, 0.8, 10000, 61
0.9, 0.95, 0.8, 50000, 65
0.9, 0.95, 0.8, 100000, 84
0.9, 0.95, 0.7, 10000, 73
0.9, 0.95, 0.7, 50000, 69
0.9, 0.95, 0.7, 100000, 77
0.9, 0.95, 0.5, 10000, 4
0.9, 0.95, 0.5, 50000, 63
0.9, 0.95, 0.5, 100000, 82
0.9, 0.9, 0.9, 10000, 0
0.9, 0.9, 0.9, 50000, 42
0.9, 0.9, 0.9, 100000, 82
0.9, 0.9, 0.8, 10000, 10
0.9, 0.9, 0.8, 50000, 76
0.9, 0.9, 0.8, 100000, 76
0.9, 0.9, 0.7, 10000, 25
0.9, 0.9, 0.7, 50000, 65
0.9, 0.9, 0.7, 100000, 76
0.9, 0.9, 0.5, 10000, 38
0.9, 0.9, 0.5, 50000, 72
0.9, 0.9, 0.5, 100000, 74
0.9, 0.85, 0.9, 10000, 18
0.9, 0.85, 0.9, 50000, 28
0.9, 0.85, 0.9, 100000, 70
0.9, 0.85, 0.8, 10000, 41
0.9, 0.85, 0.8, 50000, 18
0.9, 0.85, 0.8, 100000, 45
0.9, 0.85, 0.7, 10000, 26
0.9, 0.85, 0.7, 50000, 26
0.9, 0.85, 0.7, 100000, 73
0.9, 0.85, 0.5, 10000, 23
0.9, 0.85, 0.5, 50000, 24
0.9, 0.85, 0.5, 100000, 27
0.9, 0.8, 0.9, 10000, 11
0.9, 0.8, 0.9, 50000, 74
0.9, 0.8, 0.9, 100000, 81
0.9, 0.8, 0.8, 10000, 0
0.9, 0.8, 0.8, 50000, 61
0.9, 0.8, 0.8, 100000, 50
0.9, 0.8, 0.7, 10000, 0
0.9, 0.8, 0.7, 50000, 79
0.9, 0.8, 0.7, 100000, 75
0.9, 0.8, 0.5, 10000, 0
0.9, 0.8, 0.5, 50000, 18
0.9, 0.8, 0.5, 100000, 78
0.9, 0.75, 0.9, 10000, 11
0.9, 0.75, 0.9, 50000, 59
0.9, 0.75, 0.9, 100000, 47
0.9, 0.75, 0.8, 10000, 55
0.9, 0.75, 0.8, 50000, 67
